人教版高中英语必修1

Unit 1

survey | n. 调查；测验
expression | n. 词语；表示；表达
African | adj. 非洲的；非洲人的；非洲语言的
Spanish | adj. 西班牙的；西班牙人的；西班牙语的 // n. 西班牙人；西班牙语
play a part in | 扮演一个角色；参与
eastern | adj. 东方的；东部的
southeastern | adj. 东南方的；来自东南的
northwestern | adj. 西北方的；来自西北的
recognize | vt. 辩认出；承认；公认
lorry | n. <英>卡车 （=<美>truck）
accent | n. 口音；腔调；重音
catfish |  n. 鲶鱼
lightning | n. 闪电
straight | adv. 直接；挺直 // adj. 直的；笔直的；正直的
block | n. 街区；块；木块；石块
cab | n. 出租车
midwestern | adj. 中西部的；有中西部特性的

Unit 3

journal | n. 日记；杂志；定期刊物
transport | n. 运送；运输 // vt. 运输；运送
prefer | vt. 更喜欢；选择某事物（而不选择其他事物）
disadvantage | n. 不利条件；不便之处
fare | n. 费用
route | n. 路线；路途
Mekong | n. 湄公河
flow | vi. 流动；流出 // n. 流动；流量
ever since | 自从；自……以后
persuade | vt. 说服；劝说
cycle | vi. 骑自行车
graduate | vi. 毕业 // n. 大学毕业生
finally | adv. 最后；终于
schedule | n. 时间表；进度表 // vt. 为某事安排时间
fond | adj. 喜爱的；慈爱的；宠爱的
be fond of | 喜爱；喜欢
shortcoming | n. 缺点
stubborn | adj. 顽固的；固执的
organize | vi. 组织；成立
care about | 关心；忧虑；惦念
detail | n. 细节；详情
source | n. 来源；水源
determine | vt. 决定；确定；下定决心
determined | adj. 坚决的；有决心的
change one's mind | 改变主意
journey | n. 旅行；旅程
altitude | n. 海拔高度；高处
make up one's mind | 下决心；决定
give in | 投降；屈服；让步
atlas | n. 地图；地图集
glacier | n. 冰河；冰川
rapids | n. 急流
valley | n. （山）谷；流域
waterfall |  n. 瀑布
pace | vi. 缓慢而行；踱步 // n. 一步；速度；步调
bend | n. 弯；拐角 // vt. (bent, bent) 使弯曲 // vi. 弯身；弯腰
meander | n. （指河流等）蜿蜒缓慢流动
delta | n. 三角洲
attitude | n. 态度；看法
Qomolangma |  n. 珠穆朗玛峰
boil | vi. （指液体）沸腾；（水）开
forecast | n. & vt. 预测；预报
parcel | n. 小包；包裹
insurance |  n. 保险
wool | n. 羊毛；毛织品
as usual | 照常
reliable | adj. 可信赖的；可靠的
view | n. 风景；视野；观点；见解 // vt. 观看；注视；考虑
yak | n. 牦牛
pillow | n. 枕头；枕垫
midnight | n. 午夜；子夜
at midnight | 在午夜
flame | n. 火焰；光芒；热情
beneath | prep. 在……下面
laos | n. 老挝（东南亚国家）
laotian | n. 老挝人  // adj. 老挝（人）的
temple | n. 庙宇；寺庙
cave | n. 洞穴；地窖

Unit 4

earthquake |  n. 地震
quake | n. 震动；地震
right away | 立刻；马上
well | n. 井
crack | n. 裂缝；噼啪声 // vt. & vi. （使）开裂；破裂
smelly | adj. 发臭的；有臭味的
farmyard | n. 农场；农家
pipe | n. 管；导管
burst | vi. (burst, burst) 爆裂；爆发 // n. 突然破裂；爆发
million | n. 百万
event | n. 事件；大事
as if | 仿佛；好像
at an end | 结束；终结
nation | n. 民族；国家；国民
canal | n. 运河；水道
steam | n. 蒸汽；水汽
dirt | n. 污垢；泥土
ruin | n. 废墟；毁灭 // vt. 毁灭；使破产
in ruins | 严重受损；破败不堪
suffering | n. 苦难；痛苦
extreme | adj. 极度的
injure | vt. 损害；伤害
survivor | n. 幸存者；生还者；残存物
destroy | vt. 破坏；毁坏；消灭
brick | n. 砖；砖块
dam | n. 水坝；堰堤
track | n. 轨道；足迹；痕迹
useless | adj. 无用的；无效的；无益的
shock | vt. & vi. （使）震惊；震动 // n. 休克；打击；震惊
rescue | n. & vt. 援救；营救
trap | vt. 使陷入困境 // n. 陷阱；困境
electricity | n. 电；电流；电学
disaster | n. 灾难；灾祸
dig out | 掘出；发现
bury | vt. 埋葬；掩埋；隐藏
mine | n. 矿；矿山；矿井
miner |  n. 矿工
shelter | n. 掩蔽；掩蔽处；避身处
a great number of | 许多；大量的
title | n. 标题；头衔；资格
reporter |  n. 记者
bar | n. 条；棒；条状物
damage | n. & vt. 损失；损害
frighten | vt. 使惊吓；吓唬
frightened | adj. 受惊的；受恐吓的
frightening | adj. 令人恐惧的
congratulation | n. 祝贺；（复数）贺词
judge | n. 裁判员；法官 // vt. 断定；判断；判决
sincerely | adv. 真诚地；真挚地
express | vt. 表示；表达 // n. 快车；速递
outline | n. 要点；大纲；轮廓
headline | n. 报刊的大字标题
cyclist |  n. 骑自行车的人

Unit 5

quality | n. 质量；品质；性质
warm-hearted | adj. 热心肠的
mean | adj. 吝啬的；自私的；卑鄙的
active | adj. 积极的；活跃的
generous | adj. 慷慨的；大方的
easy-going | adj. 随和的；温和宽容的
self | n. 自我；自身
selfish | adj. 自私的
selfless | adj. 无私的；忘我的
devote | vt. （与to连用）献身；专心于
devoted | adj. 忠实的；深爱的
Bible | n. 《圣经》
invader |  n. 侵略者
found | vt. 建立；建设
republic | n. 共和国；共和政体
principle | n. 法则；原则；原理
nationalism | n. 民族主义；国家主义
livelihood | n. 生计；谋生
peaceful | adj. 和平的；平静的；安宁的
giant | adj. 巨大的；庞大的
leap | n. 飞跃；跳跃
mankind | n. 人类
lawyer |  n. 律师
guidance | n. 指导；领导
legal | adj. 法律的；依照法律的
fee | n. 费（会费、学费等）；酬金
passbook | n. 南非共和国有色人种的身份证
out of work | 失业
hopeful | adj. 怀有希望的；有希望的
anc | 非国大；非洲人国民大会；非洲名族会议（African National Congress）
youth | n. 青年；青年时期
league | n. 同盟；联盟；联合会
youth league | 青年团
stage | n. 舞台；阶段；时期
vote | vt. & vi. 投票；选举 // n. 投票；选票；表决
attack | vt. 进攻；攻击；抨击
violence | n. 暴力；暴行
as a matter of fact |  事实上
blow up | 使充气；爆炸
equal | adj. 相等的；平等的
in trouble | 在危险、受罚、痛苦、忧虑等的处境中
willing | adj. 乐意的；自愿的
unfair | adj. 不公正的；不公平的
turn to | 求助于；致力于
quote | n. 引用语；语录
release | vt. 释放；发行
lose heart | 丧失勇气或信心
escape | vi. & vt. 逃脱；逃走；避开
blanket | n. 毛毯；毯子
educate | vt. 教育；训练
educated | adj. 受过教育的；有教养的
come to power | 当权；上台
beg | vi. 请求；乞求
relative | n. 亲戚；亲属
terror | n. 恐怖；可怕的人；恐怖时期；恐怖活动
cruelty | n. 残忍；残酷
reward | n. 报酬；奖金 // vt. 酬劳；奖赏
set up | 设立；建立
sentence | vt. 判决；宣判
be sentenced to | 被判处……（徒刑）
anti | [前缀] 反；抗；阻
president | n. 总统；会长；校长；行长
Nobel Peace Prize |  诺贝尔和平奖
opinion | n. 意见；看法；主张
johannesburg | 约翰内斯堡（南非城市）人教版高中英语必修1

Unit 1

survey | n. 调查；测验
add up | 合计
upset | adj. 心烦意乱的；不安的；不适的 // vt. (upset, upset) 使不安；使心烦
ignore | vt. 不理睬；忽视
calm | vt. & vi. （使）平静；（使）镇定 // adj. 平静的；镇静的；沉着的
calm down | （使）平静下来；（使）镇定下来
have got to | 不得不；必须
concern | vt. （使）担忧；涉及；关系到 // n. 担心；关注；（利害）关系
be concerned about | 关心；挂念
walk the dog | 遛狗
loose | adj. 松的；松开的
vet | n. 兽医
Amsterdam | n. 阿姆斯特丹（荷兰首都）
Netherlands | n. 荷兰（西欧国家）
Jewish | adj. 犹太人的；犹太族的
German | adj. 德国的；德国人的；德语的 // n. 德国人；德语
Nazi | n. 纳粹党人 // adj. 纳粹党的
set down | 记下；放下；登记
series | n. 连续；系列
a series of | 一连串的；一系列；一套
outdoors | adv. 在户外；在野外
spellbind | vt. (spellbound, spellbound) 迷住；迷惑
on purpose | 故意
go through | 经历；经受
in order to | 为了……
dusk | n. 黄昏；傍晚
at dusk | 在黄昏时刻
thunder | vi. 打雷；雷鸣 // n. 雷；雷声
entire | adj. 整个的；完全的；全部的
entirely | adv. 完全地；全然地；整个地
power | n. 能力；力量；权力
face to face |  面对面地
curtain | n. 窗帘；门帘；幕布
dusty | adj. 积满灰尘的
no longer | (=not…any longer) 不再……
partner | n. 伙伴；合作者；合伙人
settle | vi. 安家；定居；停留 // vt. 使定居；安排；解决
suffer | vt. & vi. 遭受；忍受；经历
suffer from | 遭受；患病
loneliness | n. 孤单； 寂寞
highway | n. 公路；大路
recover | vi. & vt. 痊愈；恢复；重新获得
get tired of | (be tired of) 对……厌烦
pack | vi.& vt. 捆扎；包装；打行李 // n. 小包；包裹
pack up | 将（东西）装箱打包
suitcase | n. 手提箱；衣箱
overcoat | n. 大衣；外套
teenager | n. 十几岁的青少年
get along with | 与……相处；进展
gossip | vi. & n. 闲话；闲谈
fall in love | 相爱；爱上
exactly | adv. 确实如此；正是；确切地
disagree | vi. 不同意
grateful | adj. 感激的；表示谢意的
dislike | n. & vt. 不喜欢；厌恶
join in | 参加；加入
tip | n. 提示；技巧；尖；尖端；小费 // vt. 倾斜；翻倒
secondly | adv. 第二；其次
swap | vt. 交换
item | n. 项目；条款

Unit 2

subway | n. 地下人行道；<美> 地铁
elevator | n. 电梯；升降机
petrol | n. <英> 汽油 （=<美>gasoline）
gas | n. 汽油；气体；煤气；毒气
official | adj. 官方的；正式的；公务的
voyage | n. 航行；航海
conquer | vt. 征服；占领
because of | 因为；由于
native | adj. 本国的；本地的 // n. 本地人；本国人
come up | 走近；上来；提出
apartment | n. <美>公寓住宅；单元住宅
actually | adv. 实际上；事实上
ad | 公元
base | vt. 以……为根据 // n. 基部；基地；基础
at present | 现在；目前
gradual | adj. 逐渐的；逐步的
gradually | adv. 逐渐地；逐步地
Danish | n. 丹麦语 // adj. 丹麦的；丹麦人的；丹麦语的
enrich | vt. 使富裕；充实；改善
vocabulary | n. 词汇；词汇量；词表
Shakespeare | 莎士比亚（英国剧作家，诗人）
make use of | 利用；使用
spelling | n. 拼写；拼法
latter | adj. 较后的；后半的；（两者中）后者的
identity | n. 本身；本体；身份
fluent | adj. 流利的；流畅的
Singapore | n. 新加坡（东南亚国家）
Malaysia | n. 马来西亚（东南亚国家）；马来群岛
such as | 例如……；像这种的
frequent | adj. 频繁的；常见的
frequently | adv. 常常；频繁地
usage | n. 使用；用法；词语惯用法
command | n. & vt. 命令；指令；掌握
request | n. & vt. 请求；要求
dialect |  n. 方言
expression | n. 词语；表示；表达
African | adj. 非洲的；非洲人的；非洲语言的
Spanish | adj. 西班牙的；西班牙人的；西班牙语的 // n. 西班牙人；西班牙语
play a part in | 扮演一个角色；参与
eastern | adj. 东方的；东部的
southeastern | adj. 东南方的；来自东南的
northwestern | adj. 西北方的；来自西北的
recognize | vt. 辩认出；承认；公认
lorry | n. <英>卡车 （=<美>truck）
accent | n. 口音；腔调；重音
catfish |  n. 鲶鱼
lightning | n. 闪电
straight | adv. 直接；挺直 // adj. 直的；笔直的；正直的
block | n. 街区；块；木块；石块
cab | n. 出租车
midwestern | adj. 中西部的；有中西部特性的

Unit 3

journal | n. 日记；杂志；定期刊物
transport | n. 运送；运输 // vt. 运输；运送
prefer | vt. 更喜欢；选择某事物（而不选择其他事物）
disadvantage | n. 不利条件；不便之处
fare | n. 费用
route | n. 路线；路途
Mekong | n. 湄公河
flow | vi. 流动；流出 // n. 流动；流量
ever since | 自从；自……以后
persuade | vt. 说服；劝说
cycle | vi. 骑自行车
graduate | vi. 毕业 // n. 大学毕业生
finally | adv. 最后；终于
schedule | n. 时间表；进度表 // vt. 为某事安排时间
fond | adj. 喜爱的；慈爱的；宠爱的
be fond of | 喜爱；喜欢
shortcoming | n. 缺点
stubborn | adj. 顽固的；固执的
organize | vi. 组织；成立
care about | 关心；忧虑；惦念
detail | n. 细节；详情
source | n. 来源；水源
determine | vt. 决定；确定；下定决心
determined | adj. 坚决的；有决心的
change one's mind | 改变主意
journey | n. 旅行；旅程
altitude | n. 海拔高度；高处
make up one's mind | 下决心；决定
give in | 投降；屈服；让步
atlas | n. 地图；地图集
glacier | n. 冰河；冰川
rapids | n. 急流
valley | n. （山）谷；流域
waterfall |  n. 瀑布
pace | vi. 缓慢而行；踱步 // n. 一步；速度；步调
bend | n. 弯；拐角 // vt. (bent, bent) 使弯曲 // vi. 弯身；弯腰
meander | n. （指河流等）蜿蜒缓慢流动
delta | n. 三角洲
attitude | n. 态度；看法
Qomolangma |  n. 珠穆朗玛峰
boil | vi. （指液体）沸腾；（水）开
forecast | n. & vt. 预测；预报
parcel | n. 小包；包裹
insurance |  n. 保险
wool | n. 羊毛；毛织品
as usual | 照常
reliable | adj. 可信赖的；可靠的
view | n. 风景；视野；观点；见解 // vt. 观看；注视；考虑
yak | n. 牦牛
pillow | n. 枕头；枕垫
midnight | n. 午夜；子夜
at midnight | 在午夜
flame | n. 火焰；光芒；热情
beneath | prep. 在……下面
laos | n. 老挝（东南亚国家）
laotian | n. 老挝人  // adj. 老挝（人）的
temple | n. 庙宇；寺庙
cave | n. 洞穴；地窖

Unit 4

earthquake |  n. 地震
quake | n. 震动；地震
right away | 立刻；马上
well | n. 井
crack | n. 裂缝；噼啪声 // vt. & vi. （使）开裂；破裂
smelly | adj. 发臭的；有臭味的
farmyard | n. 农场；农家
pipe | n. 管；导管
burst | vi. (burst, burst) 爆裂；爆发 // n. 突然破裂；爆发
million | n. 百万
event | n. 事件；大事
as if | 仿佛；好像
at an end | 结束；终结
nation | n. 民族；国家；国民
canal | n. 运河；水道
steam | n. 蒸汽；水汽
dirt | n. 污垢；泥土
ruin | n. 废墟；毁灭 // vt. 毁灭；使破产
in ruins | 严重受损；破败不堪
suffering | n. 苦难；痛苦
extreme | adj. 极度的
injure | vt. 损害；伤害
survivor | n. 幸存者；生还者；残存物
destroy | vt. 破坏；毁坏；消灭
brick | n. 砖；砖块
dam | n. 水坝；堰堤
track | n. 轨道；足迹；痕迹
useless | adj. 无用的；无效的；无益的
shock | vt. & vi. （使）震惊；震动 // n. 休克；打击；震惊
rescue | n. & vt. 援救；营救
trap | vt. 使陷入困境 // n. 陷阱；困境
electricity | n. 电；电流；电学
disaster | n. 灾难；灾祸
dig out | 掘出；发现
bury | vt. 埋葬；掩埋；隐藏
mine | n. 矿；矿山；矿井
miner |  n. 矿工
shelter | n. 掩蔽；掩蔽处；避身处
a great number of | 许多；大量的
title | n. 标题；头衔；资格
reporter |  n. 记者
bar | n. 条；棒；条状物
damage | n. & vt. 损失；损害
frighten | vt. 使惊吓；吓唬
frightened | adj. 受惊的；受恐吓的
frightening | adj. 令人恐惧的
congratulation | n. 祝贺；（复数）贺词
judge | n. 裁判员；法官 // vt. 断定；判断；判决
sincerely | adv. 真诚地；真挚地
express | vt. 表示；表达 // n. 快车；速递
outline | n. 要点；大纲；轮廓
headline | n. 报刊的大字标题
cyclist |  n. 骑自行车的人

Unit 5

quality | n. 质量；品质；性质
warm-hearted | adj. 热心肠的
mean | adj. 吝啬的；自私的；卑鄙的
active | adj. 积极的；活跃的
generous | adj. 慷慨的；大方的
easy-going | adj. 随和的；温和宽容的
self | n. 自我；自身
selfish | adj. 自私的
selfless | adj. 无私的；忘我的
devote | vt. （与to连用）献身；专心于
devoted | adj. 忠实的；深爱的
Bible | n. 《圣经》
invader |  n. 侵略者
found | vt. 建立；建设
republic | n. 共和国；共和政体
principle | n. 法则；原则；原理
nationalism | n. 民族主义；国家主义
livelihood | n. 生计；谋生
peaceful | adj. 和平的；平静的；安宁的
giant | adj. 巨大的；庞大的
leap | n. 飞跃；跳跃
mankind | n. 人类
lawyer |  n. 律师
guidance | n. 指导；领导
legal | adj. 法律的；依照法律的
fee | n. 费（会费、学费等）；酬金
passbook | n. 南非共和国有色人种的身份证
out of work | 失业
hopeful | adj. 怀有希望的；有希望的
anc | 非国大；非洲人国民大会；非洲名族会议（African National Congress）
youth | n. 青年；青年时期
league | n. 同盟；联盟；联合会
youth league | 青年团
stage | n. 舞台；阶段；时期
vote | vt. & vi. 投票；选举 // n. 投票；选票；表决
attack | vt. 进攻；攻击；抨击
violence | n. 暴力；暴行
as a matter of fact |  事实上
blow up | 使充气；爆炸
equal | adj. 相等的；平等的
in trouble | 在危险、受罚、痛苦、忧虑等的处境中
willing | adj. 乐意的；自愿的
unfair | adj. 不公正的；不公平的
turn to | 求助于；致力于
quote | n. 引用语；语录
release | vt. 释放；发行
lose heart | 丧失勇气或信心
escape | vi. & vt. 逃脱；逃走；避开
blanket | n. 毛毯；毯子
educate | vt. 教育；训练
educated | adj. 受过教育的；有教养的
come to power | 当权；上台
beg | vi. 请求；乞求
relative | n. 亲戚；亲属
terror | n. 恐怖；可怕的人；恐怖时期；恐怖活动
cruelty | n. 残忍；残酷
reward | n. 报酬；奖金 // vt. 酬劳；奖赏
set up | 设立；建立
sentence | vt. 判决；宣判
be sentenced to | 被判处……（徒刑）
anti | [前缀] 反；抗；阻
president | n. 总统；会长；校长；行长
Nobel Peace Prize |  诺贝尔和平奖
opinion | n. 意见；看法；主张
johannesburg | 约翰内斯堡（南非城市）
